game_id,team,gameday,off_epa,off_success,off_pass_epa,off_rush_epa,off_sack_rate,off_turnover_rate,def_epa_allowed,def_success_allowed,def_pass_epa_allowed,def_rush_epa_allowed,def_sack_rate,def_takeaway_rate
2025_11_SF_ARI,ARI,2025-11-16,-0.02463674407864691,0.46835443037974683,0.06698734254980963,-0.313975965010615,0.0,0.0379746835443038,0.1918347710356739,0.5384615384615384,0.3019548614983688,0.04167101131381721,0.019230769230769232,0.0
2025_12_JAX_ARI,ARI,2025-11-23,-0.13217132015319427,0.4166666666666667,-0.10029302010895709,-0.24122866240979515,0.07142857142857142,0.0,-0.17871146095281154,0.4262295081967213,-0.17390377063145795,-0.18563453501556068,0.04918032786885246,0.06557377049180328
2025_13_ARI_TB,ARI,2025-11-30,-0.0263044622938843,0.6,0.11354785829149665,-0.41089834390368196,0.03333333333333333,0.03333333333333333,-0.02996044510643558,0.43103448275862066,0.005201230869807067,-0.08346734333115266,0.034482758620689655,0.0
2025_14_LA_ARI,ARI,2025-12-07,-0.07870080115556463,0.3709677419354839,-0.06573230786557771,-0.1327361898638435,0.04838709677419355,0.016129032258064516,0.4354662049400906,0.6417910447761194,0.5165025688499467,0.35681326349817133,0.0,0.0
2025_15_ARI_HOU,ARI,2025-12-14,0.036722102528572026,0.4696969696969697,-0.009217815799193216,0.14238391468243208,0.030303030303030304,0.015151515151515152,0.22322595578471632,0.46875,0.4525356599958875,-0.02087792289169175,0.015625,0.0
2025_16_ATL_ARI,ARI,2025-12-21,0.024603758821335475,0.38596491228070173,-0.022231026083536894,0.093837788680712,0.03508771929824561,0.017543859649122806,0.0645161017707796,0.41333333333333333,0.28130011836653795,-0.15812694230053975,0.013333333333333334,0.02666666666666667
2025_17_ARI_CIN,ARI,2025-12-28,-0.022704846148068707,0.3684210526315789,0.008901708341330628,-0.12968087672757414,0.07017543859649122,0.0,0.3303264921861398,0.5205479452054794,0.48808801401989416,0.10420164422442516,0.0410958904109589,0.0
2025_18_ARI_LA,ARI,2026-01-04,-0.026646982604650482,0.4107142857142857,-0.0013789445713243591,-0.10245109670462885,0.10714285714285714,0.03571428571428571,0.2202407603208248,0.5352112676056338,0.3661313752533698,-0.0038055411827264685,0.014084507042253521,0.0
2025_11_CAR_ATL,ATL,2025-11-16,0.08826324818347611,0.5151515151515151,0.27655991087394066,-0.1243297580799516,0.0,0.0,0.09658963617949978,0.4050632911392405,0.2810222985963741,-0.27936925259335943,0.06329113924050633,0.0
2025_12_ATL_NO,ATL,2025-11-23,-0.11221282572562642,0.4444444444444444,-0.14940745289998864,-0.07767495763514723,0.05555555555555555,0.018518518518518517,-0.23330637492250478,0.425,-0.2730175582745398,-0.1508293018067399,0.0625,0.025
2025_13_ATL_NYJ,ATL,2025-11-30,0.18087268671546733,0.5362318840579711,0.18432587175046933,0.17710557576819239,0.028985507246376812,0.0,0.023049907962691116,0.4461538461538462,0.08430784221739628,-0.09668150898968716,0.03076923076923077,0.0
2025_14_SEA_ATL,ATL,2025-12-07,-0.29738215275275004,0.375,-0.37372258184143836,-0.21611653469059797,0.015625,0.046875,0.11889175071091264,0.47540983606557374,0.32950283083479864,-0.16462316484047243,0.03278688524590164,0.01639344262295082
2025_15_ATL_TB,ATL,2025-12-11,0.18552481367774445,0.4782608695652174,0.24513700304050595,0.05817150003911758,0.014492753623188406,0.014492753623188406,0.14512442487430846,0.5217391304347826,0.2061591406550055,0.014732077524637465,0.07246376811594203,0.014492753623188406
2025_16_ATL_ARI,ATL,2025-12-21,0.0645161017707796,0.41333333333333333,0.28130011836653795,-0.15812694230053975,0.013333333333333334,0.02666666666666667,0.024603758821335475,0.38596491228070173,-0.022231026083536894,0.093837788680712,0.03508771929824561,0.017543859649122806
2025_17_LA_ATL,ATL,2025-12-29,0.1156438092734969,0.4339622641509434,0.24617479346598267,0.03653412188411157,0.0,0.0,-0.10163594839918909,0.4307692307692308,-0.08762309738461282,-0.13099620766782513,0.046153846153846156,0.046153846153846156
2025_18_NO_ATL,ATL,2026-01-04,-0.24327205937146984,0.3333333333333333,-0.12864883028657123,-0.4276659496384806,0.06666666666666667,0.016666666666666666,-0.1058234395837873,0.36764705882352944,-0.12130209499249175,-0.07553911378414815,0.058823529411764705,0.029411764705882353
2025_11_BAL_CLE,BAL,2025-11-16,-0.11659463135691328,0.423728813559322,-0.38223375865225534,0.19823692691904768,0.0847457627118644,0.03389830508474576,-0.4351658137166667,0.2857142857142857,-0.5383582762179181,-0.28710706317139306,0.05357142857142857,0.017857142857142856
2025_12_NYJ_BAL,BAL,2025-11-23,0.055789133167898,0.3442622950819672,0.19852659163645117,-0.10171426928016068,0.01639344262295082,0.0,-0.19996629192525753,0.3389830508474576,0.05537092760264589,-0.57233307040345,0.05084745762711865,0.03389830508474576
2025_13_CIN_BAL,BAL,2025-11-27,-0.33492179766545954,0.3898305084745763,-0.5510003560964833,0.11998043061037988,0.05084745762711865,0.0847457627118644,0.019006780639446802,0.39759036144578314,0.1699954837147995,-0.198594585557385,0.012048192771084338,0.012048192771084338
2025_14_PIT_BAL,BAL,2025-12-07,0.024042968309032985,0.44871794871794873,0.002665849015873471,0.05030628629777181,0.02564102564102564,0.01282051282051282,0.2427674232994928,0.4117647058823529,0.3019590165455141,0.10070759950904176,0.0,0.0
2025_15_BAL_CIN,BAL,2025-12-14,0.20007619820108352,0.4473684210526316,0.06624899108922815,0.3339034053129389,0.10526315789473684,0.02631578947368421,-0.3178048706866225,0.3684210526315789,-0.3540390788172469,-0.2556890853198378,0.039473684210526314,0.02631578947368421
