game_id,team,gameday,off_expl_pass_rate,off_expl_rush_rate,off_big_epa_rate,off_bust_epa_rate,off_epa_std,def_expl_pass_allowed,def_expl_rush_allowed,def_big_epa_allowed,def_havoc_epa_rate,def_epa_std_allowed,st_epa_mean,st_epa_std
2025_11_SF_ARI,ARI,2025-11-16,0.06666666666666667,0.0,0.08860759493670886,0.0379746835443038,1.5355594162025976,0.1,0.13636363636363635,0.09615384615384616,0.057692307692307696,1.1372260148908648,-0.0006309454736507883,0.41468393533002085
2025_12_JAX_ARI,ARI,2025-11-23,0.03076923076923077,0.05263157894736842,0.03571428571428571,0.09523809523809523,1.1060922831715159,0.1111111111111111,0.04,0.18032786885245902,0.11475409836065574,1.8593026154158336,0.1061351066719738,0.8396981788586092
2025_13_ARI_TB,ARI,2025-11-30,0.045454545454545456,0.125,0.06666666666666667,0.08333333333333333,1.4514109177323151,0.17142857142857143,0.045454545454545456,0.13793103448275862,0.10344827586206896,1.2351750707280194,-0.008464463743805951,0.5921176354107738
2025_14_LA_ARI,ARI,2025-12-07,0.08,0.0,0.0967741935483871,0.04838709677419355,1.1910269407751293,0.15151515151515152,0.17647058823529413,0.13432835820895522,0.014925373134328358,1.1501844528167882,0.06938494250337679,0.45277254514812065
2025_15_ARI_HOU,ARI,2025-12-14,0.06521739130434782,0.0,0.13636363636363635,0.06060606060606061,1.2719073489341892,0.06060606060606061,0.12903225806451613,0.125,0.046875,1.2202689938988693,-0.4415099781920825,1.618486944407091
2025_16_ATL_ARI,ARI,2025-12-21,0.11764705882352941,0.13043478260869565,0.12280701754385964,0.05263157894736842,1.2684747927566973,0.02631578947368421,0.16216216216216217,0.16,0.08,1.2965663610461682,0.23460049271383693,0.2897252304844856
2025_17_ARI_CIN,ARI,2025-12-28,0.045454545454545456,0.07692307692307693,0.12280701754385964,0.08771929824561403,1.3938855470509532,0.09302325581395349,0.06666666666666667,0.136986301369863,0.0410958904109589,1.1438114583923418,0.1647827886530754,0.8284184658924102
2025_18_ARI_LA,ARI,2026-01-04,0.11904761904761904,0.14285714285714285,0.125,0.08928571428571429,1.4513955911418146,0.09523809523809523,0.17857142857142858,0.09859154929577464,0.04225352112676056,1.053482052801806,0.04946565075644115,0.40121549141325474
2025_11_CAR_ATL,ATL,2025-11-16,0.11428571428571428,0.0967741935483871,0.10606060606060606,0.06060606060606061,1.0036283405800535,0.16981132075471697,0.0,0.189873417721519,0.0759493670886076,1.4971080841592064,-0.2666335596477305,1.4909379888227523
2025_12_ATL_NO,ATL,2025-11-23,0.11538461538461539,0.10714285714285714,0.12962962962962962,0.1111111111111111,1.7153185681046879,0.0,0.038461538461538464,0.0625,0.0875,1.2782267564859378,-0.08048645605492255,0.672046700573225
2025_13_ATL_NYJ,ATL,2025-11-30,0.08333333333333333,0.1875,0.13043478260869565,0.07246376811594203,1.1716958242370485,0.023255813953488372,0.0,0.09230769230769231,0.046153846153846156,1.0808926982329383,-0.11693160332224843,0.34153651108310984
2025_14_SEA_ATL,ATL,2025-12-07,0.12121212121212122,0.03225806451612903,0.078125,0.15625,1.447202269384302,0.11428571428571428,0.11538461538461539,0.16393442622950818,0.04918032786885246,1.3767645420993162,0.39150840833058786,0.5013259521829226
2025_15_ATL_TB,ATL,2025-12-11,0.10638297872340426,0.18181818181818182,0.15942028985507245,0.028985507246376812,1.2260012942444258,0.10638297872340426,0.13636363636363635,0.13043478260869565,0.057971014492753624,1.1877638665527956,0.19201735809021167,0.3740986117704081
2025_16_ATL_ARI,ATL,2025-12-21,0.02631578947368421,0.16216216216216217,0.16,0.08,1.2965663610461682,0.11764705882352941,0.13043478260869565,0.12280701754385964,0.05263157894736842,1.2684747927566973,0.30193886301076617,0.5397124912825968
2025_17_LA_ATL,ATL,2025-12-29,0.1,0.09090909090909091,0.11320754716981132,0.09433962264150944,1.356507184132053,0.09090909090909091,0.14285714285714285,0.1076923076923077,0.07692307692307693,1.7278525525934794,0.019487530283271385,0.5455404805029749
2025_18_NO_ATL,ATL,2026-01-04,0.02702702702702703,0.043478260869565216,0.08333333333333333,0.08333333333333333,1.3094133605050282,0.08888888888888889,0.0,0.1323529411764706,0.08823529411764706,1.6270461896582484,0.3734420884970091,0.4979228328991416
2025_11_BAL_CLE,BAL,2025-11-16,0.03125,0.1111111111111111,0.11864406779661017,0.11864406779661017,1.8532280382809194,0.09090909090909091,0.17391304347826086,0.05357142857142857,0.125,1.1030768868376368,0.06390006280651446,0.4329826208799853
2025_12_NYJ_BAL,BAL,2025-11-23,0.0625,0.06896551724137931,0.16393442622950818,0.06557377049180328,1.2692671797206012,0.05714285714285714,0.0,0.11864406779661017,0.11864406779661017,1.36329314120501,0.3540651537834869,0.5946872502638018
2025_13_CIN_BAL,BAL,2025-11-27,0.075,0.10526315789473684,0.0847457627118644,0.11864406779661017,1.698170686445195,0.04081632653061224,0.11764705882352941,0.10843373493975904,0.04819277108433735,1.2466611448197733,0.08794067806081284,0.46689326315883045
2025_14_PIT_BAL,BAL,2025-12-07,0.06976744186046512,0.05714285714285714,0.11538461538461539,0.07692307692307693,1.3299927198668973,0.1388888888888889,0.0,0.17647058823529413,0.058823529411764705,1.4082854115898908,0.1940816012648768,0.5001833481561381
2025_15_BAL_CIN,BAL,2025-12-14,0.2222222222222222,0.3157894736842105,0.15789473684210525,0.10526315789473684,1.5078324068363613,0.0425531914893617,0.03571428571428571,0.07894736842105263,0.09210526315789473,1.815410866624269,0.10317186330443022,0.2651980977251256
2025_16_NE_BAL,BAL,2025-12-21,0.0,0.12903225806451613,0.14814814814814814,0.05555555555555555,1.287539418870701,0.16666666666666666,0.16666666666666666,0.1527777777777778,0.09722222222222222,1.4341901822240761,0.2979628674076229,0.2891468288012939
2025_17_BAL_GB,BAL,2025-12-27,0.0,0.11764705882352941,0.14666666666666667,0.02666666666666667,1.0793922170679602,0.17647058823529413,0.09090909090909091,0.2222222222222222,0.1111111111111111,1.8519488339179224,0.08048999682489938,0.3170892491734544
2025_18_BAL_PIT,BAL,2026-01-04,0.16666666666666666,0.11538461538461539,0.12,0.06,1.8678512597796653,0.07692307692307693,0.08695652173913043,0.13333333333333333,0.06666666666666667,1.2926008091375683,0.12983504026947995,0.4027455894414173
2025_11_TB_BUF,BUF,2025-11-16,0.22857142857142856,0.0,0.16071428571428573,0.05357142857142857,1.6189012692453009,0.05555555555555555,0.14705882352941177,0.12857142857142856,0.05714285714285714,1.425226820986231,0.6137636326593517,0.8502609169764248
2025_12_BUF_HOU,BUF,2025-11-20,0.08888888888888889,0.15,0.15384615384615385,0.1076923076923077,1.8074319830728283,0.058823529411764705,0.125,0.05172413793103448,0.06896551724137931,0.9992530803723891,0.3766377929566906,1.939835727720053
2025_13_BUF_PIT,BUF,2025-11-30,0.0,0.14893617021276595,0.10810810810810811,0.04054054054054054,1.2909815771545716,0.04,0.16666666666666666,0.06976744186046512,0.16279069767441862,1.7711121668344318,-0.20786372950302662,0.39579507593011287
2025_14_CIN_BUF,BUF,2025-12-07,0.1282051282051282,0.09090909090909091,0.19672131147540983,0.09836065573770492,1.7562258322904263,0.07317073170731707,0.0,0.2,0.03333333333333333,1.978753633280137,0.13358862917542372,0.23543594941588272
2025_15_BUF_NE,BUF,2025-12-14,0.05555555555555555,0.12903225806451613,0.16417910447761194,0.05970149253731343,1.2662090364124978,0.03333333333333333,0.18181818181818182,0.11538461538461539,0.07692307692307693,1.4424089692642437,0.4279140738271269,0.8861154952941728
2025_16_BUF_CLE,BUF,2025-12-21,0.043478260869565216,0.12,0.0625,0.08333333333333333,1.2490867642696726,0.05128205128205128,0.10714285714285714,0.08955223880597014,0.07462686567164178,1.4571933113146338,-0.168871528531057,0.6645016234294987
2025_17_PHI_BUF,BUF,2025-12-28,0.08888888888888889,0.1,0.12,0.08,1.5796323104720733,0.034482758620689655,0.08333333333333333,0.05660377358490566,0.0,0.911312077235032,-0.2407037907091691,0.5094385707371994
2025_18_NYJ_BUF,BUF,2026-01-04,0.125,0.15384615384615385,0.14084507042253522,0.056338028169014086,1.3674337560718186,0.0,0.0,0.06382978723404255,0.0425531914893617,1.0497658415670539,-0.0907780362144405,0.24254869123207384
2025_10_NO_CAR,CAR,2025-11-09,0.03333333333333333,0.043478260869565216,0.07547169811320754,0.1509433962264151,1.4272610508318118,0.125,0.09090909090909091,0.16923076923076924,0.06153846153846154,1.5961711530290064,0.4125107278281562,0.4255647290556364
2025_11_CAR_ATL,CAR,2025-11-16,0.16981132075471697,0.0,0.189873417721519,0.0759493670886076,1.4971080841592064,0.11428571428571428,0.0967741935483871,0.10606060606060606,0.06060606060606061,1.0036283405800535,0.2162212211091846,0.3494550271218074
2025_12_CAR_SF,CAR,2025-11-24,0.02702702702702703,0.2222222222222222,0.06521739130434782,0.10869565217391304,1.567765659621659,0.030303030303030304,0.08571428571428572,0.10294117647058823,0.058823529411764705,1.3005885480272878,0.14171980596147477,0.3479472181849104
2025_13_LA_CAR,CAR,2025-11-30,0.16666666666666666,0.05405405405405406,0.11475409836065574,0.01639344262295082,1.465680380426161,0.13333333333333333,0.19047619047619047,0.17647058823529413,0.0784313725490196,1.9510451924514978,0.14351902360812843,0.21616795274311587
2025_15_CAR_NO,CAR,2025-12-14,0.125,0.04,0.14035087719298245,0.03508771929824561,1.3468505047847112,0.0,0.043478260869565216,0.1044776119402985,0.08955223880597014,1.2667393100507653,0.09722194352371356,0.3667608117280142
2025_16_TB_CAR,CAR,2025-12-21,0.05555555555555555,0.23529411764705882,0.1320754716981132,0.03773584905660377,1.1760869463174135,0.09090909090909091,0.06666666666666667,0.12698412698412698,0.06349206349206349,1.1341587328922555,0.30711172895691313,0.4348952616245695
2025_17_SEA_CAR,CAR,2025-12-28,0.0,0.05555555555555555,0.08,0.14,1.485407427348246,0.0,0.14705882352941177,0.13846153846153847,0.07692307692307693,1.5393584240418676,0.1774001171914812,0.39304163700349787
2025_18_CAR_TB,CAR,2026-01-03,0.08333333333333333,0.0,0.16326530612244897,0.12244897959183673,1.696376542961744,0.10344827586206896,0.0,0.07462686567164178,0.014925373134328358,1.0462571725473757,0.2673872864718917,0.3282488490804508
2025_11_CHI_MIN,CHI,2025-11-16,0.05405405405405406,0.02631578947368421,0.06666666666666667,0.06666666666666667,1.0923658530292366,0.06060606060606061,0.09090909090909091,0.10909090909090909,0.16363636363636364,1.3912162776282686,-0.16966682276670528,1.0673263244758018
2025_12_PIT_CHI,CHI,2025-11-23,0.075,0.08695652173913043,0.09523809523809523,0.047619047619047616,1.4353611662397883,0.02702702702702703,0.05714285714285714,0.09722222222222222,0.05555555555555555,1.4076410114173024,-0.024506253646880766,0.5311603303250546
